Name,Gender,Region
Magdalena,w,hebraeisch 
Maja,w,suedeuropaeisch 
Malala,w,arabisch 
Malia,w,hebraeisch 
Malin,w,nordisch 
Malou,w,westeuropaeisch 
Mandy,w,lateinisch westeuropaeisch 
Manila,w,asiatisch 
Manuela,w,hebraeisch westeuropaeisch 
Mara,w,hebraeisch nordisch 
Maren,w,nordisch 
Margit,w,nordisch 
Maria,w,hebraeisch 
Mariana,w,hebraeisch westeuropaeisch 
Marie,w,westeuropaeisch 
Mariella,w,hebraeisch suedeuropaeisch 
Marina,w,lateinisch suedeuropaeisch westeuropaeisch 
Marion,w,hebraeisch suedeuropaeisch westeuropaeisch 
Marissa,w,hebraeisch suedeuropaeisch westeuropaeisch 
Marit,w,nordisch 
Marlene,w,westeuropaeisch 
Mary-Lou,w,westeuropaeisch 
Mathilda,w,westeuropaeisch 
Mathilde,w,westeuropaeisch 
Maxi,w,lateinisch westeuropaeisch 
Melanie,w,suedeuropaeisch westeuropaeisch 
Melina,w,suedeuropaeisch westeuropaeisch 
Melissa,w,suedeuropaeisch 
Melody,w,westeuropaeisch 
Mette,w,nordisch westeuropaeisch 
Mia,w,
Michaela,w,hebraeisch westeuropaeisch 
Michelle,w,hebraeisch westeuropaeisch 
Mieke,w,hebraeisch westeuropaeisch 
Mika,w,hebraeisch nordisch 
Milena,w,osteuropaeisch 
Mira,w,asiatisch 
Miriam,w,hebraeisch westeuropaeisch 
Mona,w,lateinisch 
Monika,w,suedeuropaeisch 
Muriel,w,nordisch westeuropaeisch 
Nadine,w,osteuropaeisch 
Naomi,w,asiatisch hebraeisch 
Natalie,w,suedeuropaeisch 
Natascha,w,osteuropaeisch 
Nina,w,osteuropaeisch 
Oana,w,osteuropaeisch 
Oda,w,nordisch 
Odelia,w,westeuropaeisch 
Odette,w,westeuropaeisch 
Oksana,w,osteuropaeisch 
Ola,w,
Olga,w,osteuropaeisch 
Olia,w,osteuropaeisch 
Olivia,w,suedeuropaeisch 
Olympia,w,suedeuropaeisch 
Ona,w,hebraeisch 
Ophelia,w,suedeuropaeisch 
Oriana,w,suedeuropaeisch 
Orietta,w,lateinisch suedeuropaeisch 
Orla,w,westeuropaeisch 
Ornella,w,lateinisch suedeuropaeisch 
Osia,w,lateinisch suedeuropaeisch 
Otila,w,lateinisch westeuropaeisch 
Ottilie,w,westeuropaeisch 
Paige,w,westeuropaeisch 
Palina,w,suedeuropaeisch 
Pamela,w,suedeuropaeisch 
Paola,w,suedeuropaeisch 
Pari,w,asiatisch 
Patricia,w,lateinisch 
Paula,w,suedeuropaeisch 
Pauline,w,suedeuropaeisch 
Pearl,w,westeuropaeisch 
Peggy,w,westeuropaeisch 
Penelope,w,suedeuropaeisch 
Penny,w,westeuropaeisch 
Petra,w,suedeuropaeisch 
Pia,w,suedeuropaeisch 
Queenie,w,westeuropaeisch 
Quiana,w,
Ramona,w,suedeuropaeisch 
Rebekka,w,hebraeisch 
Ricarda,w,suedeuropaeisch 
Rosa/e,w,suedeuropaeisch 
Rosalia,w,suedeuropaeisch 
Sabine,w,suedeuropaeisch 
Sandra,w,suedeuropaeisch 
Sara(h),m,
Silja,w,nordisch 
Sophia,w,suedeuropaeisch 
Suri,w,asiatisch 
Tabea,w,hebraeisch 
Tamara,w,hebraeisch 
Tanja,w,osteuropaeisch 
Theodora,w,suedeuropaeisch 
Theresa/e,w,suedeuropaeisch 
Ulla,w,westeuropaeisch 
Ulrika,w,nordisch 
Ursula,w,suedeuropaeisch 
Uta,w,westeuropaeisch 
Ute,w,westeuropaeisch 
Valentina,w,suedeuropaeisch 
Vanessa,w,westeuropaeisch 
Vera,w,osteuropaeisch 
Veronika,w,suedeuropaeisch 
Viktoria,w,suedeuropaeisch 
Viola,w,suedeuropaeisch 
Wanda,w,westeuropaeisch 
Wendy,w,westeuropaeisch 
Wibke,w,westeuropaeisch 
Wilhelma,w,westeuropaeisch 
Wilma,w,westeuropaeisch 
Xana,w,suedeuropaeisch 
Xandra,w,
Xaviera,w,suedeuropaeisch 
Xena,w,suedeuropaeisch 
Xenia,w,suedeuropaeisch 
Yafa,w,hebraeisch 
Yamina,w,arabisch 
Yasemin,w,suedeuropaeisch 
Yelena,w,
Yvonne,w,westeuropaeisch 
Zahra,w,arabisch 
Zarah,w,arabisch 
Zoe,w,suedeuropaeisch 
Zohra,w,arabisch 
Zora,w,osteuropaeisch 
Adrian,m,suedeuropaeisch 
Albert,m,westeuropaeisch 
